from,to,coords_json
UNESA Ketintang,Ciputra World,"[[112.724428, -7.313721], [112.724227, -7.314366], [112.724195, -7.314407], [112.724168, -7.314431], [112.724115, -7.314447], [112.723736, -7.314318], [112.723399, -7.314214], [112.723382, -7.314209], [112.723213, -7.314154], [112.723479, -7.313383], [112.723696, -7.312763], [112.723742, -7.312638], [112.723761, -7.312591], [112.724153, -7.31152], [112.724169, -7.311476], [112.724242, -7.311277], [112.724453, -7.310705], [112.724484, -7.310623], [112.724616, -7.310275], [112.724644, -7.310208], [112.724683, -7.310154], [112.724917, -7.309869], [112.724999, -7.309747], [112.725112, -7.309507], [112.725174, -7.309308], [112.725214, -7.309183], [112.725493, -7.308294], [112.725522, -7.308222], [112.725567, -7.308157], [112.725681, -7.308183], [112.725828, -7.308224], [112.726057, -7.308306], [112.726214, -7.308384], [112.726476, -7.308531], [112.726739, -7.308691], [112.726875, -7.308767], [112.726995, -7.308834], [112.72721, -7.308957], [112.72775, -7.309232], [112.727951, -7.309324], [112.728187, -7.309432], [112.728333, -7.309492], [112.728671, -7.309637], [112.729107, -7.309793], [112.729727, -7.310022], [112.729786, -7.310038], [112.729848, -7.310043], [112.729903, -7.310037], [112.72995, -7.310015], [112.730199, -7.309835], [112.730324, -7.309759], [112.73041, -7.30971], [112.730507, -7.309691], [112.73063, -7.309673], [112.730745, -7.309663], [112.730925, -7.309672], [112.7311, -7.309699], [112.731269, -7.309742], [112.731413, -7.309778], [112.731643, -7.308952], [112.731704, -7.308691], [112.73176, -7.308451], [112.731959, -7.307656], [112.732172, -7.307779], [112.732232, -7.307812], [112.7323, -7.30784], [112.732367, -7.307861], [112.73292, -7.308005], [112.73334, -7.308097], [112.733838, -7.308193], [112.733887, -7.308185], [112.733914, -7.308177], [112.733947, -7.308162], [112.733979, -7.308144], [112.734, -7.30809], [112.734021, -7.308061], [112.734308, -7.307687], [112.73447, -7.307489], [112.734515, -7.307436], [112.734559, -7.307381], [112.734582, -7.30735], [112.734803, -7.307071], [112.73492, -7.306928], [112.734941, -7.306902], [112.734961, -7.306886], [112.735005, -7.306846], [112.735061, -7.306789], [112.735103, -7.306746], [112.735187, -7.30664], [112.735253, -7.306549], [112.735411, -7.306335], [112.735884, -7.305715], [112.736113, -7.305397], [112.736188, -7.305295], [112.736336, -7.304729], [112.736431, -7.30436], [112.736493, -7.304114], [112.736585, -7.303763], [112.736632, -7.30356], [112.736677, -7.303362], [112.736739, -7.303044], [112.736756, -7.302978], [112.736781, -7.302917], [112.736838, -7.302829], [112.736949, -7.302197], [112.737091, -7.301376], [112.737116, -7.301225], [112.737131, -7.301143], [112.737158, -7.300988], [112.737191, -7.300862], [112.737221, -7.300719], [112.737242, -7.300622], [112.737358, -7.300046], [112.737478, -7.299336], [112.737495, -7.299134], [112.737505, -7.298987], [112.737541, -7.298796], [112.737571, -7.298688], [112.737665, -7.298488], [112.737737, -7.298366], [112.737857, -7.298237], [112.737945, -7.29816], [112.738059, -7.298077], [112.738178, -7.298008], [112.738316, -7.297943], [112.738443, -7.29787], [112.738557, -7.297798], [112.738688, -7.297704], [112.738808, -7.297607], [112.738925, -7.297461], [112.738978, -7.297377], [112.739022, -7.297279], [112.739075, -7.297162], [112.739125, -7.297004], [112.739149, -7.296897], [112.739163, -7.296794], [112.739171, -7.296643], [112.739139, -7.296335], [112.739132, -7.296263], [112.739129, -7.296241], [112.739127, -7.296189], [112.739113, -7.296064], [112.739105, -7.295918], [112.739116, -7.295807], [112.73913, -7.295593], [112.73914, -7.295531], [112.739143, -7.295388], [112.739145, -7.295261], [112.73914, -7.294975], [112.739116, -7.294592], [112.739002, -7.292924], [112.738944, -7.291881], [112.7389, -7.291888], [112.738107, -7.292013], [112.737465, -7.289833], [112.737742, -7.289799], [112.737992, -7.289784], [112.738227, -7.289778], [112.738531, -7.289776], [112.738746, -7.289775], [112.738914, -7.289774], [112.739066, -7.289794], [112.739038, -7.290165], [112.739036, -7.290477], [112.739054, -7.290847]]"
UNESA Ketintang,Royal Plaza,"[[112.724428, -7.313721], [112.724227, -7.314366], [112.724195, -7.314407], [112.724168, -7.314431], [112.724115, -7.314447], [112.723736, -7.314318], [112.723399, -7.314214], [112.723382, -7.314209], [112.723213, -7.314154], [112.723479, -7.313383], [112.723696, -7.312763], [112.723742, -7.312638], [112.723761, -7.312591], [112.724153, -7.31152], [112.724169, -7.311476], [112.724242, -7.311277], [112.724453, -7.310705], [112.724484, -7.310623], [112.724616, -7.310275], [112.724644, -7.310208], [112.724683, -7.310154], [112.724917, -7.309869], [112.724999, -7.309747], [112.725112, -7.309507], [112.725174, -7.309308], [112.725214, -7.309183], [112.725493, -7.308294], [112.725522, -7.308222], [112.725567, -7.308157], [112.725225, -7.308051], [112.724845, -7.307911], [112.724734, -7.30787], [112.724649, -7.307838], [112.723988, -7.307619], [112.724072, -7.307543], [112.724233, -7.307408], [112.72442, -7.307275], [112.724745, -7.307047], [112.724958, -7.306898], [112.725192, -7.306728], [112.725651, -7.306338], [112.725772, -7.306216], [112.725909, -7.306056], [112.726075, -7.305835], [112.726198, -7.305663], [112.726542, -7.305168], [112.726967, -7.305479], [112.727165, -7.30562], [112.727664, -7.306032], [112.727746, -7.306103], [112.727942, -7.305881], [112.728058, -7.305756], [112.728175, -7.305652], [112.728318, -7.30551], [112.728393, -7.305429], [112.728438, -7.30534], [112.728448, -7.305291], [112.728462, -7.305215], [112.728477, -7.30514], [112.728579, -7.304845], [112.728753, -7.304502], [112.728819, -7.304411], [112.729024, -7.304084], [112.729102, -7.30398], [112.729216, -7.303898], [112.729507, -7.303734], [112.729719, -7.303644], [112.730028, -7.303508], [112.730286, -7.303417], [112.730898, -7.303262], [112.731133, -7.303207], [112.731426, -7.303154], [112.731488, -7.303145]]"
UNESA Ketintang,Terminal Bungurasih,"[[112.724428, -7.313721], [112.724825, -7.313848], [112.724904, -7.313877], [112.724559, -7.314908], [112.724492, -7.315125], [112.724467, -7.315197], [112.724458, -7.315221], [112.724343, -7.31552], [112.724142, -7.316038], [112.724055, -7.31625], [112.723906, -7.316647], [112.723848, -7.316798], [112.722594, -7.316308], [112.72253, -7.316282], [112.722525, -7.316299], [112.72247, -7.316474], [112.722449, -7.316534], [112.722477, -7.316575], [112.722499, -7.316612], [112.722515, -7.316663], [112.722524, -7.316709], [112.722525, -7.316768], [112.722481, -7.317157], [112.722423, -7.317461], [112.722279, -7.318259], [112.722237, -7.318308], [112.722219, -7.31837], [112.722185, -7.318534], [112.722141, -7.318805], [112.722027, -7.319492], [112.721878, -7.320392], [112.721764, -7.320874], [112.721673, -7.321237], [112.721571, -7.321627], [112.721479, -7.322039], [112.721416, -7.322307], [112.721355, -7.322567], [112.721345, -7.322606], [112.721296, -7.32279], [112.721262, -7.322901], [112.721161, -7.323391], [112.721161, -7.323398], [112.721163, -7.323404], [112.72117, -7.32341], [112.721183, -7.323416], [112.721202, -7.323423], [112.721663, -7.323618], [112.721739, -7.323645], [112.721841, -7.323682], [112.721942, -7.32372], [112.72208, -7.323771], [112.722505, -7.323913], [112.723158, -7.324154], [112.723579, -7.324314], [112.723902, -7.324422], [112.72426, -7.324528], [112.724513, -7.324599], [112.724764, -7.324663], [112.725667, -7.324893], [112.725965, -7.324975], [112.726229, -7.325049], [112.726393, -7.325102], [112.726421, -7.325165], [112.726447, -7.32523], [112.726513, -7.32514], [112.726525, -7.325055], [112.727233, -7.325251], [112.727716, -7.325474], [112.727955, -7.325572], [112.728096, -7.325615], [112.728326, -7.325681], [112.728544, -7.325737], [112.728807, -7.325825], [112.729186, -7.325997], [112.729362, -7.326058], [112.729451, -7.326082], [112.730018, -7.326209], [112.730385, -7.326309], [112.730665, -7.326371], [112.730892, -7.326432], [112.73099, -7.326472], [112.731017, -7.326442], [112.731226, -7.326459], [112.731239, -7.326452], [112.731407, -7.326443], [112.731501, -7.326469], [112.731586, -7.326516], [112.731658, -7.326581], [112.731713, -7.326661], [112.731729, -7.326746], [112.731742, -7.326843], [112.731697, -7.327051], [112.731678, -7.327143], [112.731668, -7.327189], [112.731661, -7.327222], [112.73165, -7.327272], [112.731624, -7.327393], [112.731431, -7.328298], [112.731383, -7.328642], [112.731347, -7.328902], [112.731137, -7.329812], [112.731089, -7.330001], [112.73076, -7.331415], [112.730885, -7.331438], [112.730958, -7.331454], [112.73102, -7.331467], [112.730868, -7.332423], [112.730654, -7.333708], [112.730616, -7.333987], [112.730423, -7.335221], [112.730367, -7.335576], [112.730096, -7.337267], [112.730085, -7.337369], [112.730071, -7.337487], [112.729911, -7.338753], [112.729872, -7.338997], [112.729813, -7.339459], [112.729799, -7.33959], [112.729761, -7.339967], [112.729723, -7.340451], [112.729701, -7.340922], [112.729694, -7.341295], [112.72969, -7.341459], [112.729685, -7.341667], [112.729676, -7.342074], [112.729672, -7.342395], [112.729667, -7.342736], [112.729667, -7.342782], [112.72967, -7.343153], [112.729668, -7.343252], [112.729667, -7.3433], [112.729654, -7.343701], [112.729641, -7.344093], [112.729639, -7.344252], [112.729627, -7.344929], [112.729621, -7.345607], [112.729617, -7.345712], [112.730026, -7.346075], [112.73029, -7.346293], [112.730465, -7.346408], [112.730724, -7.346516], [112.730813, -7.346525], [112.730893, -7.346534], [112.731004, -7.346547], [112.731119, -7.346569], [112.731366, -7.34653], [112.731439, -7.346514], [112.731653, -7.346442], [112.731954, -7.346335], [112.732154, -7.346238], [112.73232, -7.346152], [112.732665, -7.345912], [112.732812, -7.345736], [112.732947, -7.345626], [112.73323, -7.3454], [112.733571, -7.345144], [112.733865, -7.344911], [112.734119, -7.344723], [112.734371, -7.344567], [112.734616, -7.344451], [112.734742, -7.344412], [112.734849, -7.34438], [112.735172, -7.34431], [112.735298, -7.344298], [112.735376, -7.344297], [112.735455, -7.344303], [112.73575, -7.344368], [112.736059, -7.344447], [112.736203, -7.34449], [112.736234, -7.3445], [112.736265, -7.344521], [112.736338, -7.344519], [112.736435, -7.344523], [112.73658, -7.34454], [112.736714, -7.344572], [112.737162, -7.344637], [112.737723, -7.344726]]"
UNESA Ketintang,Terminal Wonokromo,"[[112.724428, -7.313721], [112.724227, -7.314366], [112.724195, -7.314407], [112.724168, -7.314431], [112.724115, -7.314447], [112.723736, -7.314318], [112.723399, -7.314214], [112.723382, -7.314209], [112.723213, -7.314154], [112.723479, -7.313383], [112.723696, -7.312763], [112.723742, -7.312638], [112.723761, -7.312591], [112.724153, -7.31152], [112.724169, -7.311476], [112.724242, -7.311277], [112.724453, -7.310705], [112.724484, -7.310623], [112.724616, -7.310275], [112.724644, -7.310208], [112.724683, -7.310154], [112.724917, -7.309869], [112.724999, -7.309747], [112.725112, -7.309507], [112.725174, -7.309308], [112.725214, -7.309183], [112.725493, -7.308294], [112.725522, -7.308222], [112.725567, -7.308157], [112.725681, -7.308183], [112.725828, -7.308224], [112.726057, -7.308306], [112.726214, -7.308384], [112.726476, -7.308531], [112.726739, -7.308691], [112.726875, -7.308767], [112.726995, -7.308834], [112.72721, -7.308957], [112.72775, -7.309232], [112.727951, -7.309324], [112.728187, -7.309432], [112.728333, -7.309492], [112.728671, -7.309637], [112.729107, -7.309793], [112.729727, -7.310022], [112.729786, -7.310038], [112.729848, -7.310043], [112.729903, -7.310037], [112.72995, -7.310015], [112.730199, -7.309835], [112.730324, -7.309759], [112.73041, -7.30971], [112.730507, -7.309691], [112.73063, -7.309673], [112.730745, -7.309663], [112.730925, -7.309672], [112.7311, -7.309699], [112.731269, -7.309742], [112.731413, -7.309778], [112.731643, -7.308952], [112.731704, -7.308691], [112.73176, -7.308451], [112.731959, -7.307656], [112.732172, -7.307779], [112.732232, -7.307812], [112.7323, -7.30784], [112.732367, -7.307861], [112.73292, -7.308005], [112.73334, -7.308097], [112.733838, -7.308193], [112.733887, -7.308185], [112.733914, -7.308177], [112.733947, -7.308162], [112.733979, -7.308144], [112.734, -7.30809], [112.734021, -7.308061], [112.734308, -7.307687], [112.73447, -7.307489], [112.734515, -7.307436], [112.734559, -7.307381], [112.734582, -7.30735], [112.734803, -7.307071], [112.73492, -7.306928], [112.734941, -7.306902], [112.734961, -7.306886], [112.735005, -7.306846], [112.735061, -7.306789], [112.735103, -7.306746], [112.735187, -7.30664], [112.735253, -7.306549], [112.735411, -7.306335], [112.735884, -7.305715], [112.736113, -7.305397], [112.736207, -7.305039], [112.736284, -7.304741], [112.736385, -7.304339], [112.736441, -7.304109], [112.736541, -7.303654], [112.736544, -7.303637], [112.736744, -7.302695], [112.736785, -7.302515], [112.736827, -7.302305], [112.736936, -7.301682], [112.737111, -7.300819], [112.737092, -7.300752], [112.737053, -7.300624], [112.736887, -7.300209], [112.736808, -7.300026], [112.736804, -7.300015], [112.736579, -7.299424], [112.736553, -7.29937], [112.736464, -7.299376], [112.736025, -7.299404], [112.735356, -7.299421], [112.735319, -7.299422], [112.735125, -7.299426], [112.735038, -7.299425], [112.733457, -7.29937], [112.733394, -7.299368], [112.733289, -7.299369], [112.733178, -7.299376], [112.733012, -7.299389], [112.732844, -7.299415], [112.732784, -7.299424], [112.73239, -7.299499], [112.732363, -7.299505], [112.73209, -7.299576], [112.731734, -7.29972]]"
UNESA Ketintang,Pelabuhan Tanjung Perak,"[[112.724428, -7.313721], [112.724227, -7.314366], [112.724195, -7.314407], [112.724168, -7.314431], [112.724115, -7.314447], [112.723736, -7.314318], [112.723399, -7.314214], [112.723382, -7.314209], [112.723213, -7.314154], [112.723479, -7.313383], [112.723696, -7.312763], [112.723742, -7.312638], [112.723116, -7.312527], [112.723043, -7.312504], [112.723106, -7.312127], [112.723125, -7.312009], [112.723138, -7.311935], [112.723193, -7.311533], [112.723362, -7.310336], [112.723351, -7.310304], [112.723312, -7.310286], [112.722761, -7.310165], [112.722649, -7.310152], [112.72254, -7.310156], [112.722397, -7.310176], [112.722218, -7.310212], [112.721841, -7.310289], [112.721746, -7.310305], [112.721681, -7.310309], [112.721619, -7.310308], [112.721321, -7.31027], [112.721176, -7.310211], [112.721172, -7.310232], [112.721161, -7.310282], [112.721155, -7.310306], [112.721151, -7.310316], [112.72114, -7.310326], [112.72111, -7.310336], [112.720491, -7.310337], [112.720145, -7.310322], [112.720144, -7.310385], [112.720135, -7.310526], [112.720131, -7.310549], [112.720119, -7.310565], [112.720109, -7.310575], [112.720094, -7.310583], [112.72007, -7.310591], [112.720046, -7.310592], [112.720016, -7.310589], [112.719711, -7.310522], [112.719532, -7.3105], [112.719401, -7.310488], [112.719194, -7.31046], [112.719223, -7.310085], [112.719246, -7.309838], [112.719277, -7.309501], [112.719309, -7.309087], [112.71905, -7.309058], [112.718982, -7.308604], [112.718968, -7.30857], [112.71895, -7.308545], [112.718894, -7.308489], [112.718892, -7.308458], [112.718837, -7.307658], [112.718825, -7.307578], [112.718599, -7.307393], [112.717808, -7.30751], [112.71761, -7.307524], [112.717259, -7.307534], [112.716575, -7.307563], [112.716481, -7.307565], [112.716177, -7.307573], [112.716057, -7.307567], [112.715942, -7.307556], [112.715698, -7.307508], [112.71497, -7.307309], [112.714847, -7.307273], [112.714742, -7.307257], [112.714533, -7.307244], [112.714126, -7.307237], [112.714034, -7.307246], [112.71392, -7.307258], [112.713689, -7.307315], [112.713618, -7.307339], [112.713535, -7.307378], [112.713444, -7.30743], [112.713359, -7.307488], [112.713013, -7.307743], [112.711784, -7.308954], [112.711648, -7.309095], [112.71159, -7.309158], [112.711521, -7.309246], [112.711255, -7.309665], [112.711018, -7.310007], [112.710941, -7.310138], [112.710864, -7.3103], [112.710824, -7.310399], [112.710788, -7.31049], [112.710698, -7.310446], [112.710567, -7.310385], [112.710539, -7.310372], [112.710454, -7.31033], [112.709991, -7.310159], [112.709861, -7.310115], [112.709581, -7.310013], [112.709255, -7.309945], [112.708791, -7.309894], [112.708001, -7.309851], [112.707589, -7.309809], [112.707349, -7.309775], [112.707152, -7.309707], [112.707006, -7.309639], [112.706834, -7.30955], [112.706738, -7.309473], [112.706614, -7.309322], [112.706576, -7.309238], [112.706562, -7.309165], [112.706542, -7.309026], [112.706508, -7.308813], [112.706442, -7.308644], [112.706347, -7.308489], [112.706223, -7.308349], [112.706021, -7.308227], [112.705319, -7.307984], [112.70406, -7.307642], [112.703487, -7.307481], [112.702905, -7.307316], [112.702477, -7.307185], [112.702146, -7.307069], [112.701974, -7.307], [112.701797, -7.306921], [112.701455, -7.30677], [112.701294, -7.30669], [112.701143, -7.306604], [112.700841, -7.306421], [112.700539, -7.306208], [112.700259, -7.305969], [112.700046, -7.305777], [112.699869, -7.305584], [112.699699, -7.305394], [112.699556, -7.305198], [112.699316, -7.30483], [112.699014, -7.304252], [112.698809, -7.303667], [112.698644, -7.303051], [112.698517, -7.302389], [112.698462, -7.30188], [112.698375, -7.300869], [112.69815, -7.298241], [112.698015, -7.296555], [112.697907, -7.295363], [112.697873, -7.294262], [112.6979, -7.29348], [112.697939, -7.293115], [112.69806, -7.292481], [112.698244, -7.291886], [112.698406, -7.291505], [112.69864, -7.291038], [112.698871, -7.290676], [112.699024, -7.290471], [112.699064, -7.290407], [112.699353, -7.290029], [112.699814, -7.289581], [112.700257, -7.289179], [112.701089, -7.288546], [112.703101, -7.287216], [112.703573, -7.28693], [112.704131, -7.286572], [112.704583, -7.286263], [112.705038, -7.285925], [112.70509, -7.285888], [112.705335, -7.285691], [112.705696, -7.285387], [112.705931, -7.285162], [112.706176, -7.284908], [112.706509, -7.284495], [112.706655, -7.284316], [112.706863, -7.283998], [112.707107, -7.283593], [112.707295, -7.283221], [112.707431, -7.28293], [112.707616, -7.282467], [112.707746, -7.282062], [112.707903, -7.281553], [112.707921, -7.281481], [112.708001, -7.281094], [112.708138, -7.280407], [112.7082, -7.279949], [112.708267, -7.279293], [112.708358, -7.278092], [112.708411, -7.277091], [112.708523, -7.275448], [112.708793, -7.271332], [112.7089, -7.269628], [112.70891, -7.269517], [112.708912, -7.269428], [112.709021, -7.267635], [112.709047, -7.267292], [112.70911, -7.266294], [112.709171, -7.265313], [112.709293, -7.263474], [112.709327, -7.262201], [112.709328, -7.260814], [112.709311, -7.258556], [112.709282, -7.257442], [112.709284, -7.256691], [112.709266, -7.255047], [112.709237, -7.253636], [112.709229, -7.252679], [112.709235, -7.250671], [112.709183, -7.249094], [112.709201, -7.247929], [112.709239, -7.247239], [112.709363, -7.246616], [112.709517, -7.246046], [112.70968, -7.245586], [112.709903, -7.245049], [112.71017, -7.244538], [112.710504, -7.243977], [112.712289, -7.241546], [112.712843, -7.24083], [112.713139, -7.240421], [112.713938, -7.239376], [112.71511, -7.237853], [112.715768, -7.236917], [112.716267, -7.236284], [112.717243, -7.23501], [112.717589, -7.234523], [112.719265, -7.232268], [112.719651, -7.231722], [112.719949, -7.231257], [112.720125, -7.230954], [112.720323, -7.230608], [112.720594, -7.230071], [112.720731, -7.22975], [112.720856, -7.229448], [112.721114, -7.228737], [112.721337, -7.2279], [112.721609, -7.226653], [112.721887, -7.225104], [112.721934, -7.224833], [112.721931, -7.224756], [112.721922, -7.22469], [112.721905, -7.224583], [112.721808, -7.224302], [112.721734, -7.224165], [112.721709, -7.224026], [112.721699, -7.223909], [112.721688, -7.223668], [112.721699, -7.223522], [112.721788, -7.223331], [112.721902, -7.223227], [112.721977, -7.223195], [112.722063, -7.223164], [112.722253, -7.222977], [112.722291, -7.222926], [112.72232, -7.222862], [112.722411, -7.222577], [112.722518, -7.222303], [112.72267, -7.221987], [112.722871, -7.221659], [112.723019, -7.221463], [112.72309, -7.221384], [112.723174, -7.221306], [112.723369, -7.221127], [112.723602, -7.220955], [112.723934, -7.220769], [112.724271, -7.220653], [112.724603, -7.220554], [112.725013, -7.220483], [112.725708, -7.220443], [112.726706, -7.220395], [112.727191, -7.220356], [112.727524, -7.220289], [112.727852, -7.220201], [112.728204, -7.22007], [112.728708, -7.219879], [112.728851, -7.219799], [112.728936, -7.219731], [112.729002, -7.219645], [112.72913, -7.21938], [112.729132, -7.219303], [112.72915, -7.219216], [112.729185, -7.219135], [112.729178, -7.219002], [112.729132, -7.218848], [112.72903, -7.218741], [112.728832, -7.218593], [112.728331, -7.21831], [112.728119, -7.218194], [112.727355, -7.217753], [112.727295, -7.217708], [112.727239, -7.217666], [112.727171, -7.217618], [112.726429, -7.216975], [112.726338, -7.216877], [112.725963, -7.216389], [112.725889, -7.216289], [112.725745, -7.216064], [112.725509, -7.215651], [112.725341, -7.215314], [112.725288, -7.215211], [112.725002, -7.214591], [112.724958, -7.214497], [112.724597, -7.213715], [112.724447, -7.213391], [112.724256, -7.212976], [112.723833, -7.21206], [112.723579, -7.211519], [112.723531, -7.211408], [112.723515, -7.211366], [112.723352, -7.210997], [112.72334, -7.210917], [112.723375, -7.210781], [112.7234, -7.210741], [112.723434, -7.210694], [112.723487, -7.210633], [112.723558, -7.210584], [112.723633, -7.210548], [112.723675, -7.210539], [112.723732, -7.210527], [112.724219, -7.210554], [112.724458, -7.21054], [112.724585, -7.210507], [112.725339, -7.210354], [112.725585, -7.210312], [112.725871, -7.210261], [112.726339, -7.21018], [112.726615, -7.210134], [112.728103, -7.209885], [112.729116, -7.209719], [112.729314, -7.209686], [112.729529, -7.20965], [112.729784, -7.209607], [112.731717, -7.209285], [112.731877, -7.209254], [112.732151, -7.209202], [112.732193, -7.209193], [112.732474, -7.209145], [112.732746, -7.2091], [112.732875, -7.209078], [112.733424, -7.208985], [112.734126, -7.208854], [112.734107, -7.208514], [112.734083, -7.208096], [112.734012, -7.206808], [112.733979, -7.206485], [112.733852, -7.205555], [112.733725, -7.204841], [112.733515, -7.203748], [112.733116, -7.201676], [112.733071, -7.201443], [112.732879, -7.200315], [112.732855, -7.200177]]"
