from,to,dist_m,speed_kmh,weight_sec,road_name,travel_time_sec,traffic_light_delay_sec,maneuver_delay_sec,intersection_delay_sec,left_turn_count,right_turn_count,straight_count
Simpang Darmo - Polda,Simpang Pemuda - Gubernur,5407.2,40.0,714.65,Jalan Trunojoyo,486.6,0.0,228.0,228.0,6,9,36
Simpang Darmo - Polda,Bundaran Waru,8181.3,40.0,960.32,Jalan Trunojoyo,736.3,30.0,207.0,224.0,5,8,34
Simpang Darmo - Polda,Simpang Jl. Diponegoro,3124.3,40.0,439.19,Jalan Trunojoyo,281.2,0.0,158.0,158.0,2,10,16
Simpang Darmo - Polda,Simpang Raya Darmo,1632.5,40.0,217.92,Jalan Trunojoyo,146.9,0.0,71.0,71.0,2,4,7
Simpang Darmo - Polda,Simpang Joyoboyo,4562.5,40.0,624.62,Jalan Trunojoyo,410.6,0.0,214.0,214.0,10,11,18
Simpang Darmo - Polda,Simpang HR Muhammad,3243.5,40.0,524.92,Jalan Trunojoyo,291.9,0.0,233.0,233.0,2,19,11
Simpang Urip Sumoharjo,Simpang Basuki Rahmat,2483.6,40.0,349.52,Jalan Tempel Sukorejo 1,223.5,0.0,126.0,126.0,4,7,12
Simpang Urip Sumoharjo,Simpang Embong Malang,3011.8,40.0,407.06,Jalan Tempel Sukorejo 1,271.1,0.0,136.0,136.0,6,7,12
Simpang Urip Sumoharjo,Simpang Pemuda - Gubernur,4856.9,40.0,646.12,Jalan Tempel Sukorejo 1,437.1,0.0,209.0,209.0,5,10,28
Simpang Urip Sumoharjo,Simpang Jl. Diponegoro,2151.5,40.0,402.63,Jalan Tempel Sukorejo 1,193.6,30.0,199.0,209.0,3,16,8
Simpang Urip Sumoharjo,Simpang Raya Darmo,3558.5,40.0,459.27,Jalan Tempel Sukorejo 1,320.3,15.0,127.0,139.0,2,6,19
Simpang Urip Sumoharjo,Simpang Joyoboyo,6713.1,40.0,894.18,Jalan Tempel Sukorejo 1,604.2,15.0,278.0,290.0,9,14,31
Simpang Urip Sumoharjo,Simpang HR Muhammad,4873.3,40.0,746.6,Jalan Tempel Sukorejo 1,438.6,45.0,288.0,308.0,7,22,11
Simpang Basuki Rahmat,Simpang Embong Malang,528.2,40.0,57.54,Jalan Tunjungan,47.5,0.0,10.0,10.0,2,0,0
Simpang Basuki Rahmat,Simpang Pemuda - Gubernur,3102.7,40.0,455.24,Jalan Tunjungan,279.2,15.0,171.0,176.0,5,11,12
Simpang Basuki Rahmat,Simpang Jl. Diponegoro,5469.0,40.0,767.21,Jalan Tunjungan,492.2,45.0,260.0,275.0,5,16,25
Simpang Basuki Rahmat,Simpang Raya Darmo,5410.0,40.0,673.9,Jalan Tunjungan,486.9,15.0,175.0,187.0,6,4,35
Simpang Basuki Rahmat,Simpang HR Muhammad,8190.8,40.0,1111.17,Jalan Tunjungan,737.2,60.0,349.0,374.0,9,22,28
Simpang Embong Malang,Simpang Pemuda - Gubernur,2574.5,40.0,397.7,Jalan Embong Malang,231.7,15.0,161.0,166.0,3,11,12
Simpang Embong Malang,Simpang Jl. Diponegoro,4940.8,40.0,709.67,Jalan Embong Malang,444.7,45.0,250.0,265.0,3,16,25
Simpang Embong Malang,Simpang Raya Darmo,4881.8,40.0,616.36,Jalan Embong Malang,439.4,15.0,165.0,177.0,4,4,35
Simpang Embong Malang,Simpang HR Muhammad,7662.6,40.0,1053.63,Jalan Embong Malang,689.6,60.0,339.0,364.0,7,22,28
Simpang Pemuda - Gubernur,Simpang Kenjeran,6796.8,40.0,1000.71,Jalan Ngemplak Gang Buntoe,611.7,0.0,389.0,389.0,7,27,28
Simpang Pemuda - Gubernur,Simpang Jl. Diponegoro,3733.2,40.0,556.99,Jalan Ngemplak Gang Buntoe,336.0,45.0,199.0,221.0,3,13,18
Simpang Pemuda - Gubernur,Simpang Raya Darmo,6198.4,40.0,824.86,Jalan Ngemplak Gang Buntoe,557.9,15.0,255.0,267.0,9,12,30
Simpang Pemuda - Gubernur,Simpang Joyoboyo,8926.2,40.0,1176.36,Jalan Ngemplak Gang Buntoe,803.4,60.0,341.0,373.0,13,18,32
Simpang Pemuda - Gubernur,Simpang HR Muhammad,6455.0,40.0,900.95,Jalan Ngemplak Gang Buntoe,580.9,60.0,288.0,320.0,7,19,21
Bundaran Waru,Simpang Jl. Diponegoro,9205.3,40.0,1013.48,Jalan Siwalankerto 3 A,828.5,0.0,185.0,185.0,2,4,45
Bundaran Waru,Simpang Raya Darmo,7271.9,40.0,787.47,Jalan Siwalankerto 3 A,654.5,0.0,133.0,133.0,1,2,36
Bundaran Waru,Simpang Joyoboyo,6203.3,40.0,732.3,Jalan Siwalankerto 3 A,558.3,0.0,174.0,174.0,6,6,28
Bundaran Waru,Simpang HR Muhammad,8903.3,40.0,1048.3,Jalan Siwalankerto 3 A,801.3,0.0,247.0,247.0,2,12,39
Simpang Kenjeran,Simpang Jl. Diponegoro,7949.5,40.0,1033.46,Unknown,715.5,15.0,306.0,318.0,20,8,42
Simpang Kenjeran,Simpang Mulyosari,5007.4,40.0,683.67,Unknown,450.7,0.0,233.0,233.0,7,15,16
Simpang Jl. Diponegoro,Simpang Raya Darmo,2943.1,40.0,397.88,Jalan Bagong Pasar II-A,264.9,0.0,133.0,133.0,7,5,16
Simpang Jl. Diponegoro,Simpang Joyoboyo,5162.0,40.0,636.58,Jalan Bagong Pasar II-A,464.6,0.0,172.0,172.0,7,8,19
Simpang Jl. Diponegoro,Simpang HR Muhammad,2690.8,40.0,361.17,Jalan Bagong Pasar II-A,242.2,0.0,119.0,119.0,1,9,8
Simpang Raya Darmo,Simpang Joyoboyo,3685.3,40.0,501.68,Unknown,331.7,0.0,170.0,170.0,7,9,15
Simpang Raya Darmo,Simpang HR Muhammad,2582.8,40.0,444.45,Unknown,232.5,0.0,212.0,212.0,1,18,9
Simpang Joyoboyo,Simpang HR Muhammad,4481.7,40.0,627.35,Jalan Karang Rejo Sawah XII A,403.4,0.0,224.0,224.0,6,14,18
